iter	Passed	Remaining
0	149	74633
1	154	38507
2	159	26412
3	164	20360
4	171	16990
5	180	14828
6	186	13152
7	193	11871
8	199	10866
9	205	10063
10	211	9402
11	217	8860
12	224	8399
13	230	8011
14	236	7656
15	242	7349
16	249	7085
17	255	6840
18	262	6645
19	269	6456
20	275	6275
21	281	6114
22	287	5965
23	293	5825
24	299	5696
25	306	5580
26	312	5476
27	318	5373
28	325	5283
29	331	5196
30	338	5116
31	344	5042
32	350	4966
33	359	4922
34	366	4875
35	373	4814
36	379	4751
37	388	4719
38	394	4666
39	401	4616
40	407	4565
41	414	4518
42	420	4472
43	427	4427
44	435	4405
45	443	4379
46	450	4342
47	458	4316
48	466	4296
49	473	4260
50	481	4241
51	488	4210
52	495	4179
53	501	4146
54	509	4119
55	515	4085
56	521	4055
57	528	4027
58	535	3999
59	543	3984
60	552	3973
61	560	3960
62	569	3949
63	579	3947
64	588	3936
65	597	3927
66	606	3917
67	614	3901
68	621	3884
69	630	3871
70	637	3854
71	646	3840
72	654	3826
73	663	3819
74	671	3804
75	681	3799
76	688	3784
77	696	3769
78	703	3748
79	709	3726
80	716	3705
81	722	3684
82	729	3663
83	735	3642
84	741	3621
85	747	3599
86	755	3585
87	761	3565
88	768	3547
89	774	3528
90	780	3509
91	787	3494
92	794	3475
93	801	3460
94	807	3441
95	813	3424
96	820	3408
97	826	3391
98	833	3375
99	839	3358
100	845	3341
101	852	3326
102	860	3316
103	868	3307
104	875	3293
105	882	3278
106	889	3266
107	895	3251
108	901	3235
109	908	3220
110	914	3204
111	921	3192
112	927	3177
113	934	3163
114	940	3148
115	946	3134
116	955	3126
117	961	3113
118	968	3100
119	974	3086
120	980	3072
121	987	3058
122	993	3046
123	1001	3036
124	1007	3022
125	1014	3010
126	1020	2997
127	1026	2983
128	1032	2969
129	1039	2957
130	1045	2944
131	1051	2930
132	1057	2916
133	1063	2904
134	1069	2891
135	1076	2881
136	1082	2868
137	1088	2854
138	1094	2841
139	1099	2827
140	1106	2818
141	1113	2806
