MQ135_AirQuality,MQ7_CO_ppm,PM25_ugm3,Sound_dB,Scenario,Alert_Level,DateTime
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:38
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:39
0.04,2.87,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:40
0.04,2.61,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:40
0.04,2.61,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:42
0.04,2.61,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:43
0.04,2.61,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:44
0.04,2.61,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:45
0.04,2.66,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:46
0.04,2.66,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:47
0.04,2.71,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:48
0.04,2.71,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:49
0.04,2.64,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:50
0.04,2.64,766.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:51
0.04,3.14,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:52
0.04,2.69,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:53
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:53
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:54
0.04,3.42,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:55
0.04,3.03,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:56
0.04,2.56,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:57
0.04,2.56,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:58
0.04,2.66,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:20:59
0.04,2.79,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:00
0.04,2.49,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:01
0.04,2.49,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:02
0.04,2.71,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:02
0.04,2.74,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:03
0.04,3.25,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:04
0.04,3.25,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:05
0.04,2.64,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:06
0.04,2.8200000000000003,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:07
0.04,2.56,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:08
0.04,2.56,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:09
0.04,3.51,396.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:10
0.04,2.87,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:11
0.04,2.56,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:12
0.04,2.56,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:13
0.04,2.66,766.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:13
0.04,2.74,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:14
0.04,2.59,7.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:15
0.04,2.59,7.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:16
0.04,3.65,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:17
0.04,3.74,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:18
0.04,3.39,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:19
0.04,3.42,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:20
0.04,3.42,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:21
0.04,3.77,0.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:22
0.04,3.65,357.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:23
0.04,2.51,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:24
0.04,2.51,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:24
0.04,2.98,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:25
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:26
0.04,2.66,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:27
0.04,2.66,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:28
0.04,2.8200000000000003,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:29
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:30
0.04,2.87,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:31
0.04,2.87,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:32
0.04,2.64,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:33
0.04,2.61,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:34
0.04,2.79,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:35
0.04,2.64,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:36
0.04,2.64,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:37
0.04,2.71,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:38
0.04,2.64,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:39
0.04,2.71,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:39
0.04,2.71,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:40
0.04,3.36,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:41
0.04,2.56,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:42
0.04,2.77,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:43
0.04,2.77,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:44
0.04,2.77,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:45
0.04,2.51,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:46
0.04,2.84,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:47
0.04,2.69,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:48
0.04,2.69,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:49
0.04,2.51,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:50
0.04,2.98,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:21:51
