MQ135_AirQuality,MQ7_CO_ppm,PM25_ugm3,Sound_dB,Scenario,Alert_Level,DateTime
0.06,3.89,1.9,39.1,VERY_CLEAN,0,2026-01-04 23:39:12
0.03,3.03,1.9,35.9,VERY_CLEAN,0,2026-01-04 23:27:07
0.04,3.1,0.6,31.6,VERY_CLEAN,0,2026-01-04 23:39:27
0.04,2.66,768.0,38.0,AIR_POLLUTED,0,2026-01-04 15:34:21
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:26:59
0.04,2.34,21.9,90.3,NOISE_POLLUTED,2,2026-01-04 22:36:44
0.11,3.01,899.0,78.2,BOTH_POLLUTED,3,2026-01-04 16:03:08
0.05,2.32,12.6,86.3,NOISE_POLLUTED,2,2026-01-04 22:57:42
0.04,2.46,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:28:10
4.72,3.03,19.1,92.6,BOTH_POLLUTED,3,2026-01-04 15:58:57
3.67,4.62,1.7,83.3,BOTH_POLLUTED,3,2026-01-04 16:14:59
0.04,3.28,23.5,83.3,NOISE_POLLUTED,2,2026-01-04 22:53:38
0.02,3.3,18.4,87.9,NOISE_POLLUTED,2,2026-01-04 22:51:22
0.27,8.89,23.1,49.3,SAFE,0,2026-01-04 23:01:26
0.06,2.84,676.5,81.1,BOTH_POLLUTED,3,2026-01-04 16:02:56
0.28,5.15,18.8,54.5,SAFE,0,2026-01-04 22:50:36
0.08,3.5,1.7,33.6,VERY_CLEAN,0,2026-01-04 22:57:08
0.04,2.74,767.0,38.0,AIR_POLLUTED,0,2026-01-04 15:26:29
0.47,16.66,3.6,92.2,BOTH_POLLUTED,3,2026-01-04 16:41:17
0.02,2.9,0.9,35.8,VERY_CLEAN,0,2026-01-04 22:41:34
0.21,7.87,34.1,54.5,SAFE,0,2026-01-04 23:17:42
0.04,2.94,16.5,81.5,NOISE_POLLUTED,2,2026-01-04 23:00:06
0.29,2.11,744.9,93.6,BOTH_POLLUTED,3,2026-01-04 23:01:43
0.01,3.62,1.0,39.0,VERY_CLEAN,0,2026-01-04 22:55:55
0.3,6.75,13.8,57.8,SAFE,0,2026-01-04 22:47:23
0.04,2.74,17.9,82.1,NOISE_POLLUTED,2,2026-01-04 22:46:47
3.98,1.42,28.1,88.3,BOTH_POLLUTED,3,2026-01-04 16:46:18
0.02,2.98,1.8,34.6,VERY_CLEAN,0,2026-01-04 23:23:59
0.38,8.16,34.1,45.1,SAFE,0,2026-01-04 22:46:04
0.03,2.52,22.8,77.1,NOISE_POLLUTED,2,2026-01-04 23:02:20
0.05,2.48,15.7,78.4,NOISE_POLLUTED,2,2026-01-04 23:00:09
0.04,2.73,21.1,75.6,NOISE_POLLUTED,2,2026-01-04 22:39:12
4.7,4.98,13.3,78.1,BOTH_POLLUTED,3,2026-01-04 16:16:27
0.29,5.98,30.3,50.8,SAFE,0,2026-01-04 22:59:11
0.01,3.69,1.8,37.7,VERY_CLEAN,0,2026-01-04 22:57:48
0.03,3.31,1.5,30.2,VERY_CLEAN,0,2026-01-04 23:36:01
0.22,6.69,14.4,47.2,SAFE,0,2026-01-04 22:57:13
0.3,29.04,28.1,89.8,BOTH_POLLUTED,3,2026-01-04 16:09:20
0.07,3.96,1.7,36.2,VERY_CLEAN,0,2026-01-04 23:00:53
0.15,8.49,27.1,58.8,SAFE,0,2026-01-04 22:52:17
2.87,1.13,7.9,90.2,BOTH_POLLUTED,3,2026-01-04 16:43:45
0.22,1.04,207.9,89.9,BOTH_POLLUTED,3,2026-01-04 22:43:09
0.05,3.33,14.2,93.8,NOISE_POLLUTED,2,2026-01-04 22:31:18
0.25,25.25,12.1,80.3,BOTH_POLLUTED,3,2026-01-04 16:29:11
0.46,24.35,22.1,90.5,BOTH_POLLUTED,3,2026-01-04 22:39:46
0.05,2.9,0.2,31.0,VERY_CLEAN,0,2026-01-04 22:42:16
